,Stock,Hold,Buy,Sell
0,ABT,0.32399478554725647,0.3715039789676666,0.3045012950897217
1,ABBV,0.32545214891433716,0.3736945390701294,0.30085334181785583
2,ACN,0.32972249388694763,0.36861300468444824,0.30166447162628174
3,ADBE,0.3274722397327423,0.37201809883117676,0.3005096912384033
4,AAP,0.33076587319374084,0.3662327527999878,0.30300143361091614
5,AES,0.32423800230026245,0.37449368834495544,0.30126824975013733
6,AET,0.32441091537475586,0.37391602993011475,0.301673024892807
7,AFL,0.32422512769699097,0.37215885519981384,0.30361607670783997
8,AMG,0.3222855031490326,0.3723989725112915,0.3053154945373535
9,A,0.3269595801830292,0.3727758526802063,0.3002646267414093
10,APD,0.32653680443763733,0.37038135528564453,0.30308184027671814
11,AKAM,0.3293780982494354,0.3683846592903137,0.30223721265792847
12,AA,0.32836541533470154,0.3709128201007843,0.30072179436683655
13,AGN,0.32898205518722534,0.36767080426216125,0.3033472001552582
14,ALXN,0.3246886432170868,0.37478160858154297,0.30052971839904785
15,ALLE,0.3245446979999542,0.37127065658569336,0.3041846752166748
16,ADS,0.3317936956882477,0.37056422233581543,0.29764214158058167
17,ALL,0.3242141902446747,0.37294602394104004,0.3028397262096405
18,ALTR,0.3253752589225769,0.3747875392436981,0.299837201833725
19,MO,0.3232082724571228,0.3749065101146698,0.3018852174282074
20,AMZN,0.32451775670051575,0.3757649064064026,0.29971736669540405
21,AEE,0.3239968419075012,0.3752644956111908,0.30073869228363037
22,AAL,0.33013609051704407,0.3694882094860077,0.30037572979927063
23,AEP,0.32544487714767456,0.37540581822395325,0.29914936423301697
24,AXP,0.32609593868255615,0.373623251914978,0.3002808094024658
25,AIG,0.3252871334552765,0.37196189165115356,0.30275094509124756
26,AMT,0.3294301927089691,0.36700674891471863,0.30356305837631226
27,AMP,0.3226475417613983,0.374299556016922,0.3030528426170349
28,ABC,0.32742545008659363,0.3699951171875,0.30257943272590637
29,AME,0.3275998830795288,0.3719387352466583,0.30046138167381287
30,AMGN,0.32355669140815735,0.3743397891521454,0.3021034896373749
31,APH,0.32296785712242126,0.3721451461315155,0.30488696694374084
32,APC,0.3252609372138977,0.37208449840545654,0.30265453457832336
33,ADI,0.3273504078388214,0.37072157859802246,0.30192801356315613
34,AON,0.3236117959022522,0.37647613883018494,0.29991206526756287
35,APA,0.32473620772361755,0.3726866841316223,0.30257707834243774
36,AIV,0.3337106704711914,0.3676741123199463,0.2986152470111847
37,AMAT,0.32831740379333496,0.37263673543930054,0.2990458607673645
38,ADM,0.32975149154663086,0.36977577209472656,0.3004727065563202
39,AIZ,0.32544606924057007,0.37299424409866333,0.3015596866607666
40,T,0.32444435358047485,0.3734110891819,0.30214452743530273
41,ADSK,0.3266761004924774,0.3732139766216278,0.30010995268821716
42,ADP,0.32612812519073486,0.3707056939601898,0.30316615104675293
43,AN,0.3284620940685272,0.3703652620315552,0.3011726140975952
44,AZO,0.3303167223930359,0.36817383766174316,0.30150943994522095
45,AVGO,0.3217191696166992,0.3758859634399414,0.3023947775363922
46,AVB,0.32070669531822205,0.3768029510974884,0.30249038338661194
47,AVY,0.3279176950454712,0.37384748458862305,0.29823485016822815
48,BLL,0.32429268956184387,0.37329548597335815,0.30241191387176514
49,BAC,0.32770100235939026,0.36904433369636536,0.3032546639442444
50,BK,0.3298598527908325,0.37027937173843384,0.29986074566841125
51,BAX,0.3206236958503723,0.3776594400405884,0.3017169237136841
52,BBT,0.3271773159503937,0.37214234471321106,0.3006802797317505
53,BDX,0.3254246413707733,0.372337281703949,0.3022380769252777
54,BBBY,0.32524657249450684,0.3735589385032654,0.3011944591999054
55,BRK-B,0.3232259452342987,0.3723362386226654,0.3044377863407135
56,BBY,0.3257621228694916,0.3731195330619812,0.30111831426620483
57,BLX,0.3286551237106323,0.3682902455329895,0.30305466055870056
58,HRB,0.32857275009155273,0.37127888202667236,0.3001483976840973
59,BA,0.32805562019348145,0.3695518970489502,0.30239251255989075
60,BWA,0.32974907755851746,0.36854514479637146,0.3017057478427887
61,BXP,0.32526034116744995,0.36932122707366943,0.3054184317588806
62,BMY,0.3285755217075348,0.3666630983352661,0.3047614097595215
63,BF-B,0.3268877863883972,0.3697991371154785,0.3033130466938019
